uscounty,Cherokee,10504,31233,0,24201,24632,786712
uscounty,Bandera,1398,3463,1,2575,2740,49432
uscounty,Rosebud,8222,25817,1,20805,20978,786712
uscounty,Union,969,1977,0,1395,1773,49432
uscounty,Schoolcraft,582,1459,0,1154,1198,49432
uscounty,Ulster,1445,2967,0,2166,2528,49432
uscounty,Camden,2614,7488,0,6056,5944,196888
uscounty,Jersey,6362,26904,1,21159,21307,786712
uscounty,Hanover,1126,2472,0,1817,1929,49432
uscounty,Wallace,1196,2908,0,2253,2368,49432
uscounty,Alger,1866,4260,0,3314,3265,49432
uscounty,Fulton,1896,4180,2,3403,3472,196888
uscounty,Hidalgo,1193,4385,0,3376,3407,49432
uscounty,Robeson,2598,10709,0,8450,8412,196888
uscounty,Newaygo,3777,14744,0,10491,11964,196888
uscounty,Morrow,1895,6119,0,4646,5131,196888
uscounty,Todd,2619,12850,1,10053,10370,196888
uscounty,Logan,882,2312,1,1988,2011,49432
uscounty,Lincoln,2576,9757,0,7408,7933,196888
uscounty,Miller,768,1544,0,1207,1388,49432
uscounty,Orange,3871,10045,0,8936,8941,196888
uscounty,San Juan,3475,11268,0,9110,9151,196888
uscounty,Franklin,1571,3421,0,2640,2922,196888
uscounty,Carroll,2136,6022,1,4843,4985,196888
uscounty,Riley,711,1699,0,1502,1489,49432
uscounty,Schleicher,901,2407,0,2010,1995,49432
uscounty,Russell,2435,8566,1,6949,6900,196888
uscounty,Caldwell,2257,11358,1,9463,9385,196888
uscounty,Madison,1048,2422,0,1756,1875,49432
uscounty,Warrick,2468,5163,1,4223,4086,196888
uscounty,Adair,2181,7126,2,5529,6001,196888
uscounty,Gallatin,715,1949,1,1210,1635,49432
uscounty,Harrison,1286,2653,1,2049,2308,49432
uscounty,Sagadahoc,2239,12261,0,9612,10164,196888
uscounty,Sweet Grass,2015,7086,0,5946,5839,196888
uscounty,Grayson,4036,15242,0,12450,12548,196888
uscounty,Greene,968,1803,0,1258,1356,49432
uscounty,Northwest Arctic,3023,11717,0,9398,9359,196888
uscounty,Ellis,2637,11307,5,9210,9159,196888
uscounty,Hale,3596,16055,3,12547,12495,196888
uscounty,Perry,903,2033,0,1379,1647,49432
uscounty,Colbert,1259,2501,0,1918,2042,49432
uscounty,Pratt,868,1918,3,1442,1423,49432
uscounty,Bourbon,453,857,0,700,745,49432
uscounty,Rutherford,1194,3055,0,2566,2555,49432
uscounty,Cook,3802,22879,1,18823,18992,196888
uscounty,Lane,4086,10486,0,8586,9130,196888
uscounty,Harper,1164,2313,0,1626,1662,49432
uscounty,Piatt,1934,4852,0,3880,3913,196888
uscounty,Crosby,1455,3375,1,2444,2572,49432
uscounty,Fajardo,1654,4093,1,3611,3639,196888
uscounty,Greene,2346,8429,0,6262,6593,196888
uscounty,Clark,1460,3083,0,2526,2624,49432
uscounty,Kossuth,952,2116,0,1514,1661,49432
uscounty,Yabucoa,972,3260,0,2652,2557,49432
uscounty,Burke,1803,7370,4,6203,6172,196888
uscounty,Durham,1614,4382,0,3520,3401,49432
uscounty,Harrison,800,1844,0,1427,1528,49432
uscounty,Keya Paha,8937,36101,0,27521,28976,786712
uscounty,Webster,4118,8744,1,7378,7913,196888
uscounty,Pope,1133,2471,0,1760,1849,49432
uscounty,Smith,8578,26033,3,20405,20627,786712
uscounty,Henry,852,2060,1,1861,1848,49432
uscounty,Alexandria,5241,24059,0,19320,19222,196888
uscounty,Jefferson,1063,2306,0,1713,1761,49432
uscounty,Lewis and Clark,1755,3798,0,2751,3043,49432
uscounty,Duchesne,1535,4811,0,3545,3608,196888
uscounty,Alfalfa,905,1760,0,1413,1408,49432
uscounty,Delta,720,1471,0,1185,1237,49432
uscounty,Trousdale,929,1952,0,1487,1433,49432
uscounty,Perry,1442,2958,0,2147,2726,49432
uscounty,Deuel,4042,13195,2,10651,10699,196888
uscounty,Jackson,543,1310,0,1284,1277,49432
uscounty,Hormigueros,594,1109,1,887,880,49432
uscounty,Zavala,2373,5476,0,4483,4910,196888
uscounty,Banner,1301,2788,3,1969,2283,49432
uscounty,Madison,2046,4971,0,4042,4164,196888
uscounty,Broward,2938,7729,0,5629,6103,196888
uscounty,Toombs,1831,3552,0,2101,3193,196888
uscounty,Sanilac,1205,2473,0,1869,2151,49432
uscounty,Rockwall,3154,14734,0,11457,12845,196888
uscounty,Wayne,1200,2463,0,1921,2145,49432
uscounty,Nobles,1793,8087,0,6588,7016,196888
uscounty,Aitkin,728,1533,0,1391,1383,49432
uscounty,Ramsey,8650,33443,1,26841,26807,786712
uscounty,Person,2317,5989,1,5066,5060,196888
uscounty,Trego,1567,3275,0,2539,2794,49432
uscounty,Washington,5343,21700,0,17328,17391,196888
uscounty,Eastland,1970,3802,0,2853,3086,196888
uscounty,Issaquena,1066,4313,0,3631,3668,49432
uscounty,DeWitt,1712,3527,0,2527,2915,49432
uscounty,Angelina,2252,5964,1,5122,5047,196888
uscounty,Saluda,7194,25200,1,20227,20310,786712
uscounty,Maries,1800,3589,0,2968,3018,196888
uscounty,Arkansas,952,2153,0,1848,1858,49432
uscounty,Lawrence,1090,2170,0,2058,2062,49432
uscounty,Charlottesville,23095,86337,1,66355,68168,786712
uscounty,Bureau,1103,2164,1,1631,1703,49432
uscounty,Scioto,1566,3199,0,1973,2735,49432
uscounty,Madison,2128,6613,0,5340,5333,196888
uscounty,Jerome,1164,3362,1,2524,2650,49432
uscounty,Vinton,2789,7031,2,6071,5970,196888
uscounty,McLennan,4972,19843,0,15798,15845,196888
